Estación,Latitud,Longitud
Observatorio,19.3982702,-99.2004166
Tacubaya,19.4008508,-99.187693
Juanacatlan,19.4129786,-99.18199
Chapultepec,19.420702,-99.1768378
Sevilla,19.4219541,-99.1706287
Insurgentes,19.4236015,-99.1633188
Cuauhtemoc,19.4326296,-99.1331785
Balderas,19.4271218,-99.1489658
Universidad,19.3243786,-99.1738707
Copilco,19.3360586,-99.1770655
M. A. De Quevedo,19.3469409,-99.179951
Viveros,19.354325,-99.1751123
Coyoacan,19.3498606,-99.1619751
Zapata,19.3706696,-99.1648064
Centro Medico,19.40639,-99.155152
Hospital General,19.4136617,-99.1532797
Niños Heroes,19.419418,-99.150302
Juarez,19.4332704,-99.1476839
Barranca del Muerto,19.3615527,-99.1892568
Mixcoac,19.3762376,-99.1876125
San Antonio,19.3845079,-99.1866332
San Pedro de los Pinos,19.3911516,-99.1859103
Constituyentes,19.4117501,-99.1913845
Auditorio,19.4249847,-99.1922567
Polanco,19.43353,-99.190915
Patriotismo,19.4060319,-99.178752
Chilpancingo,19.4059029,-99.1685264
Lazaro Cardenas,19.407137,-99.1444476
Insurgentes Sur,19.373258,-99.1770894
Hospital 20 de Noviembre,19.3719536,-99.1707596
Parque de los Venados,19.3706329,-99.158782
Eje Central,19.3613563,-99.151486
Etiopía,19.3958443,-99.1549887
Division del Norte,19.3791517,-99.1595362
Eugenia,19.3861257,-99.1571902
